id,From,To,Domain,Source
1,AS59193,AS15169,google.com,1
2,AS59193,AS15169,fitbit.com,1
3,AS15169,AS396982,fitbit.com,1
4,AS59193,AS55824,ed.ac.uk,1
5,AS55824,AS20965,ed.ac.uk,1
6,AS20965,AS786,ed.ac.uk,1
7,AS59193,AS55836,harvard.edu,1
8,AS55836,AS54113,harvard.edu,1
9,AS59193,AS55836,delugerpg.com,1
10,AS55836,AS13335,delugerpg.com,1
11,AS59193,AS55836,friv.com,1
12,AS55836,AS4637,friv.com,1
13,AS4637,AS6453,friv.com,1
14,AS6453,AS30633,friv.com,1
15,AS59193,AS55836,kongregate.com,1
16,AS55836,AS16509,kongregate.com,1
17,AS59193,AS55836,miniclip.com,1
18,AS55836,AS16509,miniclip.com,1
19,AS59193,AS55836,notdoppler.com,1
20,AS55836,AS13335,notdoppler.com,1
21,AS59193,AS16509,guinnessworldrecords.com,1
22,AS59193,AS55824,fearp.usp.br,1
23,AS55824,AS11537,fearp.usp.br,1
24,AS11537,AS1916,fearp.usp.br,1
25,AS1916,AS28571,fearp.usp.br,1
26,AS59193,AS32934,facebook.com,1
27,AS59193,AS32934,instagram.com,1
28,AS49981,AS15169,google.com,2
29,AS49981,AS15169,fitbit.com,2
30,AS15169,AS396982,fitbit.com,2
31,AS49981,AS201011,ed.ac.uk,2
32,AS201011,AS34984,ed.ac.uk,2
33,AS34984,AS786,ed.ac.uk,2
34,AS49981,AS6762,harvard.edu,2
35,AS6762,AS54113,harvard.edu,2
36,AS49981,AS13335,delugerpg.com,2
37,AS49981,AS174,friv.com,2
38,AS174,AS30633,friv.com,2
39,AS49981,AS3267,kongregate.com,2
40,AS3267,AS16509,kongregate.com,2
41,AS49981,AS3267,miniclip.com,2
42,AS3267,AS16509,miniclip.com,2
43,AS49981,AS13335,notdoppler.com,2
44,AS49981,AS3267,guinnessworldrecords.com,2
45,AS3267,AS16509,guinnessworldrecords.com,2
46,AS49981,AS174,fearp.usp.br,2
47,AS174,AS1916,fearp.usp.br,2
48,AS1916,AS28571,fearp.usp.br,2
49,AS49981,AS32934,facebook.com,2
50,AS49981,AS32934,instagram.com,2
51,AS212238,AS60068,google.com,3
52,AS60068,AS1299,google.com,3
53,AS1299,AS15169,google.com,3
54,AS212238,AS60068,fitbit.com,3
55,AS60068,AS1299,fitbit.com,3
56,AS1299,AS15169,fitbit.com,3
57,AS15169,AS396982,fitbit.com,3
58,AS212238,AS60068,ed.ac.uk,3
59,AS60068,AS1299,ed.ac.uk,3
60,AS1299,AS786,ed.ac.uk,3
61,AS212238,AS60068,harvard.edu,3
62,AS60068,AS174,harvard.edu,3
63,AS174,AS54113,harvard.edu,3
64,AS212238,AS60068,delugerpg.com,3
65,AS60068,AS13335,delugerpg.com,3
66,AS212238,AS60068,friv.com,3
67,AS60068,AS174,friv.com,3
68,AS174,AS30633,friv.com,3
69,AS212238,AS60068,kongregate.com,3
70,AS60068,AS7922,kongregate.com,3
71,AS7922,AS16509,kongregate.com,3
72,AS212238,AS60068,miniclip.com,3
73,AS60068,AS7922,miniclip.com,3
74,AS7922,AS16509,miniclip.com,3
75,AS212238,AS60068,notdoppler.com,3
76,AS60068,AS13335,notdoppler.com,3
77,AS212238,AS60068,guinnessworldrecords.com,3
78,AS60068,AS7922,guinnessworldrecords.com,3
79,AS7922,AS16509,guinnessworldrecords.com,3
80,AS212238,AS60068,fearp.usp.br,3
81,AS60068,AS174,fearp.usp.br,3
82,AS174,AS1916,fearp.usp.br,3
83,AS1916,AS28571,fearp.usp.br,3
84,AS212238,AS60068,facebook.com,3
85,AS60068,AS32934,facebook.com,3
86,AS212238,AS60068,instagram.com,3
87,AS60068,AS32934,instagram.com,3
88,AS24560,AS9498,google.com,4
89,AS9498,AS15169,google.com,4
90,AS24560,AS9498, harvard.edu,4
91,AS9498,AS54113, harvard.edu,4
92,AS24560,AS9498,ed.ac.uk ,4
93,AS9498,AS6461,ed.ac.uk ,4
94,AS6461,AS34984,ed.ac.uk ,4
95,AS34984,AS786,ed.ac.uk ,4
96,AS24560,AS9498,fearp.usp.br ,4
97,AS9498,AS7713,fearp.usp.br ,4
98,AS7713,AS1916,fearp.usp.br ,4
99,AS1916,AS28571,fearp.usp.br ,4
100,AS24560,AS9498,fitbit.com,4
101,AS9498,AS15169,fitbit.com,4
102,AS15169,AS396982,fitbit.com,4
103,AS24560,AS9498,facebook.com ,4
104,AS9498,AS32934,facebook.com ,4
105,AS24560,AS9498,instagram.com,4
106,AS9498,AS32934,instagram.com,4
107,AS24560,AS9498,guinnessworldrecords.com,4
108,AS9498,AS16509,guinnessworldrecords.com,4
109,AS24560,AS9498,delugerpg.com ,4
110,AS9498,AS13335,delugerpg.com ,4
111,AS24560,AS9498, friv.com ,4
112,AS9498,AS1299, friv.com ,4
113,AS1299,AS30633, friv.com ,4
114,AS24560,AS9498,kongregate.com,4
115,AS9498,AS174,kongregate.com,4
116,AS174,AS54113,kongregate.com,4
117,AS24560,AS9498,miniclip.com ,4
118,AS9498,AS16509,miniclip.com ,4
119,AS24560,AS9498,notdoppler.com ,4
120,AS9498,AS13335,notdoppler.com ,4
