IP,label,loc
103.232.241.70,AS59193 IIT Hyderabad,"17.411,78.4487"
103.232.241.2,AS59193 IIT Hyderabad,"17.411,78.4487"
72.14.213.20,AS15169 Google LLC,"37.422,-122.084"
142.251.227.213,AS15169 Google LLC,"37.422,-122.084"
142.250.228.81,AS15169 Google LLC,"37.422,-122.084"
142.250.67.46,AS15169 Google LLC,"40.1922,-75.4339"
103.232.241.70,AS59193 IIT Hyderabad,"17.411,78.4487"
103.232.241.2,AS59193 IIT Hyderabad,"17.411,78.4487"
72.14.213.20,AS15169 Google LLC,"37.422,-122.084"
142.251.227.211,AS15169 Google LLC,"37.422,-122.084"
142.251.55.247,AS15169 Google LLC,"37.422,-122.084"
142.250.182.78,AS15169 Google LLC,"34.035,-83.2191"
103.232.241.70,AS59193 IIT Hyderabad,"17.411,78.4487"
103.232.241.2,AS59193 IIT Hyderabad,"17.411,78.4487"
180.149.48.18,AS55824 NKN Core Network,"28.5898,77.2354"
180.149.48.2,AS55824 NKN Core Network,"28.5898,77.2354"
180.149.48.29,AS55824 NKN Core Network,"28.5898,77.2354"
62.40.125.214,AS20965 GEANT Vereniging,"52.1917,0.133508"
62.40.98.239,AS20965 GEANT Vereniging,"52.1917,0.133608"
62.40.98.106,AS20965 GEANT Vereniging,"38.731,-9.1373"
62.40.98.64,AS20965 GEANT Vereniging,"52.1917,0.133608"
62.40.124.198,AS20965 GEANT Vereniging,"52.1917,0.133508"
146.97.33.2,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.33.22,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.33.42,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.33.54,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.38.38,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.74.34,AS786 Jisc Services Limited,"55.9533,-3.18827"
146.97.156.78,AS786 Jisc Services Limited,"55.9533,-3.18827"
