From,To,domain,label,TTL
10.2.0.1,109.236.95.226,google.com,2,3
109.236.95.226,109.236.95.108,google.com,2,4
109.236.95.108,72.14.195.126,google.com,2,5
72.14.195.126,108.170.241.161,google.com,2,6
108.170.241.161,172.253.71.201,google.com,2,7
172.253.71.201,142.251.36.14,google.com,2,8
10.2.0.1,190.2.138.2,youtube.com,2,2
190.2.138.2,109.236.95.224,youtube.com,2,3
109.236.95.224,109.236.95.108,youtube.com,2,4
109.236.95.108,72.14.195.126,youtube.com,2,5
72.14.195.126,108.170.241.193,youtube.com,2,6
108.170.241.193,172.253.66.185,youtube.com,2,7
172.253.66.185,216.58.208.110,youtube.com,2,8
10.2.0.1,190.2.138.3,fitbit.com,2,2
190.2.138.3,109.236.95.226,fitbit.com,2,3
109.236.95.226,109.236.95.108,fitbit.com,2,4
109.236.95.108,72.14.195.126,fitbit.com,2,5
72.14.195.126,108.170.241.225,fitbit.com,2,6
108.170.241.225,209.85.250.123,fitbit.com,2,7
209.85.250.123,34.149.183.214,fitbit.com,2,8
10.2.0.1,190.2.138.3,socratic.com,2,2
190.2.138.3,109.236.95.230,socratic.com,2,3
109.236.95.230,109.236.95.106,socratic.com,2,4
109.236.95.106,72.14.195.126,socratic.com,2,5
72.14.195.126,108.170.241.161,socratic.com,2,6
108.170.241.161,142.251.48.181,socratic.com,2,7
142.251.48.181,216.239.36.21,socratic.com,2,8
10.2.0.1,190.2.138.2,ed.ac.uk,2,2
190.2.138.2,109.236.95.224,ed.ac.uk,2,3
109.236.95.224,109.236.95.108,ed.ac.uk,2,4
109.236.95.108,5.56.21.189,ed.ac.uk,2,5
5.56.21.189,80.255.15.166,ed.ac.uk,2,6
80.255.15.166,195.66.224.15,ed.ac.uk,2,7
195.66.224.15,146.97.35.169,ed.ac.uk,2,8
146.97.35.169,146.97.33.62,ed.ac.uk,2,9
146.97.33.62,146.97.33.29,ed.ac.uk,2,10
146.97.33.29,146.97.33.49,ed.ac.uk,2,11
146.97.33.49,146.97.33.57,ed.ac.uk,2,12
146.97.33.57,146.97.38.38,ed.ac.uk,2,13
146.97.38.38,146.97.74.34,ed.ac.uk,2,14
146.97.74.34,146.97.156.78,ed.ac.uk,2,15
146.97.156.78,192.41.103.209,ed.ac.uk,2,16
192.41.103.209,129.215.97.20,ed.ac.uk,2,19
10.2.0.1,190.2.138.3,harvard.edu,2,2
190.2.138.3,109.236.95.230,harvard.edu,2,3
109.236.95.230,109.236.95.173,harvard.edu,2,4
109.236.95.173,195.22.213.126,harvard.edu,2,5
195.22.213.126,93.186.128.57,harvard.edu,2,6
93.186.128.57,195.22.205.9,harvard.edu,2,7
195.22.205.9,151.101.66.133,harvard.edu,2,8
10.2.0.1,190.2.138.3,delugerpg.com,2,2
190.2.138.3,109.236.95.226,delugerpg.com,2,3
109.236.95.226,109.236.95.108,delugerpg.com,2,4
109.236.95.108,141.101.65.52,delugerpg.com,2,5
141.101.65.52,172.71.100.4,delugerpg.com,2,6
172.71.100.4,104.26.3.57,delugerpg.com,2,7
10.2.0.1,190.2.138.3,friv.com,2,2
190.2.138.3,109.236.95.226,friv.com,2,3
109.236.95.226,154.54.57.253,friv.com,2,5
154.54.57.253,154.54.42.85,friv.com,2,6
154.54.42.85,154.54.40.110,friv.com,2,7
154.54.40.110,154.54.30.66,friv.com,2,8
154.54.30.66,38.122.62.10,friv.com,2,9
38.122.62.10,173.208.126.45,friv.com,2,10
173.208.126.45,207.244.69.244,friv.com,2,11
10.2.0.1,190.2.138.3,kongregate.com,2,2
190.2.138.3,109.236.95.226,kongregate.com,2,3
109.236.95.226,109.236.95.108,kongregate.com,2,4
109.236.95.108,80.249.210.100,kongregate.com,2,5
80.249.210.100,52.93.113.177,kongregate.com,2,6
52.93.113.177,52.93.113.239,kongregate.com,2,7
52.93.113.239,13.227.219.24,kongregate.com,2,13
10.2.0.1,190.2.138.2,miniclip.com,2,2
190.2.138.2,109.236.95.224,miniclip.com,2,3
109.236.95.224,109.236.95.167,miniclip.com,2,4
109.236.95.167,80.249.210.100,miniclip.com,2,5
80.249.210.100,52.93.113.187,miniclip.com,2,6
52.93.113.187,52.93.0.153,miniclip.com,2,7
52.93.0.153,52.93.112.223,miniclip.com,2,16
52.93.112.223,18.65.39.98,miniclip.com,2,17
