From,To,domain,label,ttl
192.168.29.1,10.3.80.1, google.com,5,1
10.3.80.1,172.31.0.136, google.com,5,2
172.31.0.136,192.168.59.124, google.com,5,3
192.168.59.124,172.26.74.68, google.com,5,4
172.26.74.68,172.26.75.131, google.com,5,5
172.26.75.131,192.168.60.232, google.com,5,6
192.168.60.232,209.85.168.26, google.com,5,7
209.85.168.26,72.14.238.215, google.com,5,8
72.14.238.215,142.251.49.219, google.com,5,9
142.251.49.219,142.250.195.206, google.com,5,10
192.168.29.1,10.3.80.1, fitbit.com,5,1
10.3.80.1,172.31.2.18, fitbit.com,5,2
172.31.2.18,192.168.59.120, fitbit.com,5,3
192.168.59.120,172.26.74.68, fitbit.com,5,4
172.26.74.68,172.26.75.130, fitbit.com,5,5
172.26.75.130,192.168.60.226, fitbit.com,5,6
192.168.60.226,209.85.168.26, fitbit.com,5,7
209.85.168.26,216.239.47.175, fitbit.com,5,8
216.239.47.175,74.125.253.107, fitbit.com,5,9
74.125.253.107,34.149.183.214, fitbit.com,5,10
192.168.29.1,10.3.80.1, harvard.edu,5,1
10.3.80.1,172.31.0.136, harvard.edu,5,2
172.31.0.136,192.168.59.120, harvard.edu,5,3
192.168.59.120,172.26.74.68, harvard.edu,5,4
172.26.74.68,172.26.75.131, harvard.edu,5,5
172.26.75.131,192.168.60.226, harvard.edu,5,6
192.168.60.226,49.44.18.38, harvard.edu,5,7
49.44.18.38,151.101.130.133, harvard.edu,5,8
192.168.29.1,10.3.80.1, fearp.usp.br,5,1
10.3.80.1,172.31.0.136, fearp.usp.br,5,2
172.31.0.136,192.168.59.120, fearp.usp.br,5,3
192.168.59.120,172.26.74.68, fearp.usp.br,5,4
172.26.74.68,172.26.75.130, fearp.usp.br,5,5
172.26.75.130,192.168.60.232, fearp.usp.br,5,6
192.168.60.232,103.198.140.174, fearp.usp.br,5,7
103.198.140.174,103.198.140.56, fearp.usp.br,5,8
103.198.140.56,103.198.140.107, fearp.usp.br,5,9
