IP,AS,Range
163.253.2.33,AS11537,163.253.0.0/22
163.253.1.135,AS11537,163.253.0.0/22
163.253.1.104,AS11537,163.253.0.0/22
64.57.28.62,AS11537,64.57.16.0/20
163.253.1.9,AS11537,163.253.0.0/22
163.253.1.116,AS11537,163.253.0.0/22
62.115.191.217,AS1299,62.115.0.0/16
62.115.191.217,AS1299,62.115.0.0/16
62.115.143.14,AS1299,62.115.0.0/16
62.115.175.131,AS1299,62.115.0.0/16
62.115.124.56,AS1299,62.115.0.0/16
62.115.42.118,AS1299,62.115.0.0/16
62.115.191.217,AS1299,62.115.0.0/16
62.115.120.239,AS1299,62.115.0.0/16
104.26.3.57,AS13335,104.26.0.0/20
172.71.100.4,AS13335,172.71.100.0/24
162.158.156.5,AS13335,162.158.156.0/24
104.22.29.219,AS13335,104.22.16.0/20
162.158.156.5,AS13335,162.158.156.0/24
172.67.22.126,AS13335,172.67.16.0/20
104.22.29.219,AS13335,104.22.16.0/20
172.71.96.4,AS13335,172.71.96.0/24
141.101.65.52,AS13335,141.101.65.0/24
104.26.3.57,AS13335,104.26.0.0/20
172.67.22.126,AS13335,172.67.16.0/20
172.67.69.31,AS13335,172.67.64.0/20
141.101.65.52,AS13335,141.101.65.0/24
172.67.69.31,AS13335,172.67.64.0/20
172.70.216.3,AS13335,172.70.216.0/24
72.14.195.126,AS15169,72.14.192.0/18
142.250.224.245,AS15169,142.250.0.0/15
172.217.165.142,AS15169,172.217.0.0/16
142.251.55.243,AS15169,142.251.55.0/24
142.250.169.206,AS15169,142.250.0.0/15
72.14.204.154,AS15169,72.14.192.0/18
142.251.67.163,AS15169,142.250.0.0/15
72.14.213.20,AS15169,72.14.192.0/18
216.239.40.187,AS15169,216.239.32.0/19
142.251.227.213,AS15169,142.250.0.0/15
142.250.228.81,AS15169,142.250.0.0/15
72.14.213.20,AS15169,72.14.192.0/18
216.239.43.131,AS15169,216.239.32.0/19
142.251.55.89,AS15169,142.251.55.0/24
142.250.63.91,AS15169,142.250.0.0/15
72.14.204.154,AS15169,72.14.192.0/18
209.85.250.123,AS15169,209.85.128.0/17
72.14.195.126,AS15169,72.14.192.0/18
142.250.214.107,AS15169,142.250.0.0/15
142.250.183.14,AS15169,142.250.183.0/24
142.250.56.38,AS15169,142.250.0.0/15
108.170.253.121,AS15169,108.170.192.0/18
142.250.228.186,AS15169,142.250.0.0/15
72.14.205.196,AS15169,72.14.192.0/18
142.250.67.46,AS15169,142.250.67.0/24
108.170.241.225,AS15169,108.170.192.0/18
108.170.248.193,AS15169,108.170.192.0/18
142.250.214.109,AS15169,142.250.0.0/15
142.251.36.14,AS15169,142.251.36.0/24
142.251.71.187,AS15169,142.250.0.0/15
172.253.71.201,AS15169,172.253.0.0/16
108.170.241.161,AS15169,108.170.192.0/18
18.155.49.56,AS16509,18.155.48.0/21
18.65.39.98,AS16509,18.65.32.0/21
13.227.219.24,AS16509,13.227.216.0/21
13.224.214.22,AS16509,13.224.208.0/21
13.35.231.20,AS16509,13.35.224.0/21
18.67.161.53,AS16509,18.67.160.0/23
18.155.49.127,AS16509,18.155.48.0/21
108.159.61.40,AS16509,108.159.56.0/21
18.239.94.48,AS16509,18.239.92.0/22
13.224.214.79,AS16509,13.224.208.0/21
18.238.4.118,AS16509,18.238.0.0/21
154.54.7.158,AS174,154.48.0.0/12
38.88.165.74,AS174,38.0.0.0/8
154.54.24.146,AS174,154.48.0.0/12
149.6.165.74,AS174,149.6.0.0/15
154.54.38.66,AS174,154.48.0.0/12
154.54.3.125,AS174,154.48.0.0/12
154.54.3.125,AS174,154.48.0.0/12
38.104.44.122,AS174,38.0.0.0/8
154.54.57.253,AS174,154.48.0.0/12
154.54.42.85,AS174,154.48.0.0/12
38.88.165.74,AS174,38.0.0.0/8
154.54.88.226,AS174,154.48.0.0/12
154.54.24.146,AS174,154.48.0.0/12
154.54.7.158,AS174,154.48.0.0/12
154.54.40.106,AS174,154.48.0.0/12
154.54.3.9,AS174,154.48.0.0/12
38.104.72.1,AS174,38.0.0.0/8
154.54.40.110,AS174,154.48.0.0/12
