AS,Range
AS11537,163.253.0.0/22
AS11537,64.57.16.0/20
AS1299,62.115.0.0/16
AS13335,172.67.16.0/20
AS13335,162.158.156.0/24
AS13335,104.22.16.0/20
AS13335,172.71.96.0/24
AS13335,172.67.64.0/20
AS13335,172.71.100.0/24
AS13335,104.26.0.0/20
AS13335,172.70.216.0/24
AS13335,141.101.65.0/24
AS15169,72.14.192.0/18
AS15169,216.239.32.0/19
AS15169,142.250.183.0/24
AS15169,172.217.0.0/16
AS15169,108.170.192.0/18
AS15169,142.250.0.0/15
AS15169,142.251.49.0/24
AS15169,74.125.0.0/16
AS15169,142.251.36.0/24
AS15169,209.85.128.0/17
AS15169,142.250.67.0/24
AS15169,142.251.55.0/24
AS15169,172.253.0.0/16
AS16509,18.155.48.0/21
AS16509,18.239.92.0/22
AS16509,108.159.56.0/21
AS16509,18.65.32.0/21
AS16509,13.224.208.0/21
AS16509,18.67.160.0/23
AS174,38.0.0.0/8
AS174,154.48.0.0/12
AS1916,200.143.192.0/18
AS201011,80.255.0.0/20
AS201011,5.56.16.0/21
AS2018,155.232.0.0/16
AS2018,155.232.0.0/17
AS2018,152.106.0.0/16
AS20965,62.40.96.0/19
AS212238,37.19.198.0/23
AS24560,223.230.16.0/24
AS2497,58.138.0.0/17
AS2497,202.232.0.0/16
AS28571,143.107.0.0/16
AS2907,150.99.0.0/16
AS2914,129.250.0.0/16
AS2914,128.241.0.0/16
AS30633,207.244.64.0/18
AS30633,173.208.126.0/24
AS3267,80.249.208.0/21
AS32934,157.240.247.0/24
AS32934,129.134.0.0/17
AS32934,173.252.64.0/19
AS32934,157.240.16.0/24
AS32934,157.240.0.0/17
AS32934,157.240.192.0/24
AS32934,31.13.71.0/24
AS32934,157.240.192.0/18
AS34984,195.66.224.0/19
AS38635,131.113.0.0/16
AS396982,34.148.0.0/14
AS4637,210.57.38.0/24
AS49981,109.236.80.0/20
AS49981,190.2.128.0/20
AS54113,151.101.128.0/22
AS54113,151.101.64.0/22
AS55824,180.149.48.0/24
AS55836,49.44.128.0/17
AS55836,115.247.100.0/22
AS59193,103.232.241.0/24
AS60068,185.229.188.0/23
AS60068,45.134.215.0/24
AS64049,49.45.4.0/24
AS64049,103.198.140.0/24
AS6453,180.87.0.0/17
AS6453,207.45.192.0/19
AS6461,94.31.0.0/18
AS6762,195.22.192.0/19
AS6762,93.186.128.0/21
AS7575,137.92.0.0/16
AS7575,113.197.0.0/20
AS7713,185.1.226.0/23
AS786,146.97.0.0/16
AS786,192.41.103.0/24
AS786,129.215.0.0/16
AS7922,96.96.0.0/12
AS7922,68.80.0.0/13
AS7922,23.30.0.0/15
AS7922,50.128.0.0/9
AS7922,75.144.0.0/13
AS9498,182.79.245.0/24
AS9498,202.56.234.0/24
AS9498,182.79.161.0/24
AS9498,59.144.94.0/24
AS9498,182.79.223.0/24
AS9498,182.79.134.0/24
AS9498,116.119.32.0/19
AS9498,116.119.64.0/18
AS9498,182.71.238.0/24
